A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
O15457	0	chr1	+	76262567	76378927	76262914,76269598,76272826,76276492,76280821,76282231,76288266,76313961,76333273,76342685,76344003,76344813,76345838,76347055,76349506,76355054,76356509,76363766,76365391	76269416,76272666,76276382,76280706,76282058,76288094,76313894,76333199,76342621,76343834,76344677,76345735,76346931,76349306,76354936,76356381,76363592,76365303,76378381
Q8WXJ9	0	chr1	-	76384558	76398089	76384843,76388044	76387765,76397576
Q8NDV1	0	chr1	+	76540431	77100288	76540569,76779684,76878102,77093244	76779490,76877693,77093137,77094305
Q9BVH7	0	chr1	+	77333165	77533231	77333375,77334427,77510298,77516050	77334182,77509889,77515943,77528660
Q92643	0	chr1	-	77554674	77685115	77558175,77588044,77620306,77627090,77627396,77629627,77632515,77635080,77672416,77676174	77587960,77620134,77626980,77627279,77629531,77632404,77634945,77672325,77676121,77684995
Q9Y6K8	0	chr1	+	77747704	78025651	77748058,77752812,77759645,77763413,77763632,77806253,77876756,77883400,77949044,77952037,77984412,77987628,78001723	77752626,77759478,77763244,77763519,77806062,77876666,77883324,77949002,77951993,77984249,77987512,78001532,78024287
Q8IYH5	0	chr1	-	78028101	78148343	78031469,78031866,78034151,78041905,78044554,78045313,78046754,78047576,78047811,78050340,78099090,78105287,78107131,78107340	78031766,78034017,78041753,78044459,78045212,78046683,78047461,78047664,78050202,78097535,78105134,78107069,78107207,78148270
Q8TEY7	0	chr1	-	78161672	78225537	78163159,78163616,78167156,78177540,78178966,78180468,78181553,78183732,78184326,78186890,78187610,78187881,78189128,78191447,78194397,78195623,78196416,78200101,78201843,78205102,78206624,78207114,78207433	78163548,78167054,78177432,78178885,78180299,78181427,78183552,78184281,78186857,78187516,78187709,78189016,78191307,78193980,78195545,78196303,78200032,78201741,78204950,78206562,78207061,78207302,78225328
Q8NAN2	0	chr1	+	78245334	78345225	78245421,78249036,78267193,78269091,78272786,78279552,78280916,78309092,78324741,78325071,78325811,78327007,78329713,78332076,78338805	78248923,78267016,78268955,78272660,78279419,78280793,78308992,78324623,78324999,78325725,78326909,78329579,78332023,78338689,78340531
Q0ZGT2	0	chr1	+	78354309	78409580	78354444,78381818,78383442,78383723,78383958,78390914,78392296,78392577,78395189,78399164,78401729,78407893	78381740,78383251,78383645,78383810,78390873,78392099,78392401,78395001,78398967,78401508,78407708,78408146
Q96AE4	0	chr1	-	78409740	78444756	78414459,78414985,78421014,78422385,78425948,78426180,78428615,78429400,78429847,78430041,78430432,78430653,78430915,78432435,78432639,78432785,78433350,78433887,78435699	78414840,78420940,78422257,78425869,78426029,78428455,78429259,78429747,78429939,78430331,78430555,78430753,78432378,78432568,78432733,78433311,78433849,78435609,78444569
Q9UDY4	0	chr1	+	78470623	78483648	78471005,78479303	78478735,78481698
Q8TF65	0	chr1	+	78511650	78604128	78512018,78546544,78560816,78585183,78591646	78546359,78560636,78585077,78591565,78601276
P43088	0	chr1	+	78956659	79006386	78956921,78959226	78958357,79002091
Q53G44	0	chr1	+	79086133	79111830	79086256,79094078,79094684,79095600,79101174,79102888,79106806,79107294	79093591,79094636,79095405,79101022,79102717,79106706,79107120,79107460
Q8TCB0	0	chr1	+	79115516	79129758	79115590,79116337,79119964,79120894,79121196,79125168,79126339,79128563	79115871,79119928,79120699,79121047,79124997,79126239,79128389,79129450
Q9HBW9	0	chr1	-	79355449	79472415	79356901,79357377,79358874,79383385,79383735,79386071,79387471,79392776,79402096,79403675,79403964,79404943,79412111,79470904	79357209,79358783,79383319,79383515,79385868,79387298,79392571,79401980,79403492,79403785,79404873,79411959,79470755,79472318
A0A8I5KUX3	0	chr1	+	82266619	82459616	82266753,82302742,82372915,82402521,82407729,82409453,82416166,82416805,82417826,82418709,82421744,82431867,82432293,82433883,82435071,82436218,82437602,82445644,82447660,82450395,82451039,82452713,82453570	82302570,82372702,82402412,82407718,82408653,82415873,82416702,82417641,82418671,82421561,82431742,82432088,82433710,82434862,82435998,82437536,82445553,82447492,82450267,82450943,82452585,82453553,82456075
Q6ZT98	0	chr1	-	84330707	84464815	84335765,84348819,84356164,84369842,84372146,84373344,84377046,84383373,84385517,84386843,84387077,84394913,84399449,84403699,84408362,84412965,84414378,84415669,84417659,84418070	84348646,84356004,84369762,84372012,84373139,84376848,84383287,84385382,84386770,84386930,84394819,84399291,84403535,84408146,84412807,84414311,84415548,84417528,84417870,84464614
P22694	0	chr1	+	84609954	84704181	84610231,84644921,84648011,84649818,84650865,84662425,84663507,84668488,84680000	84644860,84647883,84649720,84650783,84662299,84663412,84668366,84679836,84700863
Q5VXD3	0	chr1	+	84767391	84816481	84767484,84768970,84791431	84768886,84791320,84815314
Q8WZ79	0	chr1	+	84864167	84880701	84864372,84867761,84874201,84876682,84878229	84867584,84874120,84876521,84878032,84880211
Q9H9Y2	0	chr1	+	84944949	84964035	84945192,84946695,84948678,84955411,84956155,84961138,84961746,84962053	84946639,84948598,84955316,84956002,84961056,84961565,84961927,84963112
P63218	0	chr1	-	84964008	84972264	84964231,84967653,84971984	84967509,84971694,84972119
A0A8V8TNU4	0	chr1	+	84972069	85033062	84972101,84982078,84986374,84988190,84991432,84991756,84998657,84999449,85009987,85011442,85014647,85016213,85021662	84981906,84986268,84988073,84991379,84991528,84998543,84999392,85009885,85011317,85014469,85016115,85021593,85031544
Q01459	0	chr1	-	85015294	85040123	85020882,85029101,85029515,85031695,85035822,85036403	85028940,85029418,85031524,85035614,85036265,85039922
Q9Y2D8	0	chr1	-	85109389	85156144	85113290,85116210,85117680,85121688,85122167,85124151,85128058,85128213,85130235,85131915,85135576,85136498,85136991	85116045,85117566,85121515,85122031,85124001,85127881,85128138,85130100,85131805,85135364,85136329,85136860,85156054
Q9UBY5	0	chr1	-	85277285	85358889	85279854,85331821	85331068,85358699
Q8IZK6	0	chr1	-	85391266	85462796	85392404,85395362,85397251,85403560,85403765,85405385,85406674,85412815,85418022,85418213,85422267,85424385,85431391	85395241,85397045,85403438,85403664,85405236,85406562,85412716,85417926,85418129,85422114,85424212,85431232,85462479
Q8TDD5	0	chr1	-	85483765	85514183	85484940,85486959,85487875,85488083,85491771,85491967,85494888,85498475,85498639,85499934,85506860,85511045	85486753,85487753,85487982,85491622,85491855,85494789,85498379,85498555,85499781,85506693,85510816,85514079
Q8IWG1	0	chr1	+	85528010	85598821	85528169,85537688,85538775,85547098,85548087,85550378,85551713,85555915,85559331,85560238,85561703,85563338,85564341,85570280,85573860,85575818,85583542,85587497,85589934,85592398,85594482,85595795	85537611,85538737,85546917,85547983,85550229,85551514,85555799,85559141,85560114,85561614,85563252,85564213,85570207,85573716,85575731,85583412,85587434,85589804,85592194,85594391,85595673,85598538
Q5VT97	0	chr1	-	85622572	85666699	85624932,85630440,85634908,85643955,85648883,85656435	85630209,85634727,85643829,85647781,85655740,85665935
Q8N6N3	0	chr1	-	85715636	85725345	85718385,85724405	85724207,85725041
O95999	0	chr1	-	85731459	85742315	85733665,85736589	85736301,85741979
O94760	0	chr1	-	85784168	85930842	85787251,85790566,85816217,85817262,85824530	85790423,85816098,85817189,85824431,85930426
Q6FI18	0	chr1	+	86046444	86049633	86046730,86047261,86047967,86048307	86047048,86047611,86048099,86048423
Q9NWK9	0	chr1	-	86115100	86174116	86119781,86123654,86142996,86144464,86146587,86167943,86171846,86172038,86172190	86123530,86142919,86144384,86146519,86167840,86171761,86171932,86172125,86173312
Q17RW2	0	chr1	-	86194916	86622455	86196375,86200647,86203188,86210517,86211189,86227105,86227249,86241392,86246956,86249241,86249849,86250049,86252144,86282578,86283770,86289272,86289421,86304321,86306961,86307804,86308076,86313455,86315089,86334309,86334518,86340385,86341013,86342858,86355296,86361585,86361748,86362092,86372930,86374334,86375686,86377116,86426976,86430745,86435954,86437076,86453337,86482887,86487976,86488274,86488560,86488690,86497605,86499606,86512552,86515860,86523658,86524857,86529442,86554910,86558003,86578303,86581061,86591897,86611866	86200432,86203079,86210349,86211124,86227079,86227214,86241357,86246903,86249179,86249796,86249942,86252037,86282471,86283717,86289219,86289368,86304268,86306905,86307751,86308023,86313348,86315036,86334202,86334465,86340332,86340960,86342805,86355243,86361541,86361704,86362039,86372877,86374281,86375633,86377063,86426932,86430692,86435910,86437023,86453284,86482834,86487923,86488221,86488516,86488637,86497561,86499553,86512508,86515807,86523614,86524804,86529398,86554857,86557950,86578250,86581008,86590528,86611802,86622024
Q9ULJ1	0	chr1	-	86812520	86862006	86814561,86818667,86820375,86820542,86822285,86824574,86826219,86836836,86838223,86842101,86848041,86848685,86848879,86850484,86851273,86852769	86818542,86820213,86820457,86822127,86824470,86826109,86836701,86838114,86841916,86847925,86848614,86848817,86850359,86851141,86852598,86861716
Q9UQC9	0	chr1	+	86889854	86922236	86890116,86891159,86894251,86896653,86898211,86900428,86904789,86906008,86907226,86909694,86913461,86916416,86919285	86891022,86894101,86896545,86898052,86900201,86904559,86905831,86907120,86909470,86913191,86916246,86919052,86920768
A8K7I4	0	chr1	+	86934610	86965942	86934816,86939240,86939559,86942236,86948065,86951244,86952436,86954853,86957054,86959282,86960131,86961358,86964494	86939100,86939412,86942131,86947888,86951026,86952209,86954679,86956948,86959067,86959870,86961188,86964255,86965337
Q9NXP1	0	chr1	+	87012761	87046437	87012961,87025755,87026041,87029452,87031134,87031703,87033334,87036937,87038403,87040438,87041282,87043755,87045270	87025615,87025894,87029344,87030957,87031485,87033107,87036760,87038297,87040223,87041015,87043585,87045037,87045625
Q9Y371	0	chr1	+	87170259	87213867	87170654,87181548,87185318,87188356,87190088,87200374,87200862,87208119	87181407,87185190,87188223,87189996,87200285,87200762,87207891,87208811
O60613	0	chr1	-	87328128	87379809	87329288,87333785,87346408,87369131	87333736,87346345,87368964,87379711
Q7LGA3	0	chr1	+	87380318	87575665	87380843,87538855,87549962,87558352,87563618,87569272	87538617,87549877,87558214,87563521,87569115,87570153
none	0	chr1	+	87458692	87634887	87458810,87538855,87549962,87558352,87563618,87569272,87599401	87538617,87549877,87558214,87563521,87569115,87599297,87633819
P61968	0	chr1	+	87794563	87814606	87794927,87797934,87805315,87805885	87797696,87805219,87805730,87810471
Q16513	0	chr1	+	89149956	89301938	89150311,89206971,89226059,89236152,89237249,89237562,89250507,89251896,89270217,89270604,89271354,89271700,89273126,89273287,89273458,89279416,89287686,89290069,89294306,89298534,89298840	89206671,89225905,89236035,89237104,89237346,89250322,89251787,89270074,89270529,89271180,89271574,89272996,89273212,89273367,89279240,89287624,89289993,89294164,89298427,89298760,89298928
Q00403	0	chr1	-	89318316	89357250	89319029,89323170,89325694,89325969,89329797,89353050	89322889,89325565,89325823,89329664,89352944,89357166
Q6YP21	0	chr1	-	89401462	89458312	89401928,89408774,89409106,89414960,89418835,89420908,89426970,89427189,89427828,89430661,89434497,89435150,89454034	89408688,89409033,89414774,89418746,89420832,89426850,89427064,89427742,89430512,89434353,89435092,89453935,89458268
Q96E39	0	chr1	-	89445139	89458312	89449749,89454034	89453935,89458268
Q9H0R5	0	chr1	-	89472363	89488549	89473535,89474823,89475177,89476799,89477710,89479110,89479962,89480339,89481097,89486426	89474630,89475075,89476587,89477430,89478868,89479766,89480230,89480970,89486215,89488367
P32455	0	chr1	-	89518002	89530891	89519151,89520558,89520898,89521911,89522817,89523917,89524726,89525109,89526007,89528936	89520365,89520796,89521699,89522537,89523675,89524524,89525000,89525880,89528728,89530843
P32456	0	chr1	-	89571815	89591797	89573974,89575553,89575949,89578367,89579979,89582917,89583456,89585971,89586953,89587666	89575360,89575847,89578155,89579699,89582675,89583260,89585862,89586826,89587460,89591546
Q8N8V2	0	chr1	-	89597425	89641686	89598086,89599134,89607331,89613462,89615255,89616258,89618147,89618460,89630541,89637637	89598941,89607229,89613250,89614975,89616013,89617951,89618351,89630414,89637429,89641604
Q96PP9	0	chr1	-	89646827	89664625	89651152,89652209,89652785,89654477,89656001,89657189,89658783,89659095,89661107,89662987	89652016,89652683,89654265,89655721,89656944,89658587,89658986,89660980,89662793,89664478
Q96PP8	0	chr1	-	89721872	89738543	89726500,89728084,89728468,89729631,89730649,89732271,89732836,89733209,89734539,89735257,89736545	89727903,89728366,89729419,89730369,89732029,89732640,89733100,89734412,89735049,89736438,89738135
Q6ZN66	0	chr1	+	89829618	89853719	89829686,89834300,89835232,89843771,89844172,89846190,89847533,89848435,89849313,89849845	89834088,89835105,89843662,89843976,89845945,89847253,89848223,89849211,89849652,89850789
Q6P9F7	0	chr1	+	89990388	90063420	89990581,90033866,90034052,90045247,90050348	90033806,90033998,90045150,90048184,90058330
A0A6Q8PHA8	0	chr1	+	90045151	90045213		
Q8TDW0	0	chr1	+	90098679	90185092	90098881,90152170	90152029,90178268
Q7L1W4	0	chr1	+	90286591	90402170	90286850,90309341	90309197,90398626
Q5BKZ1	0	chr1	+	90460669	90501092	90460832,90463713,90470597,90470803,90473309,90475845,90478796,90483023,90484343,90486481,90487904	90463669,90470562,90470692,90472904,90475647,90478685,90482876,90484244,90486351,90487809,90492913
Q9NY43	0	chr1	-	91177096	91182859	91178181,91180313	91180088,91182128
Q9H582	0	chr1	-	91380861	91487592	91382547,91383711,91403647,91406866,91447927	91383609,91403042,91403829,91447867,91487547
A2PYH4	0	chr1	-	91726323	91870394	91726916,91727949,91728149,91731664,91733412,91739372,91740366,91742300,91742619,91779052,91779617,91781529,91781741,91782033,91784766,91784947,91788554,91788756,91790323,91809067,91813033,91816428,91817200,91818208,91818709,91818856,91841003,91841284,91843740,91844037,91844771,91845793,91846539,91850791,91851391,91859959,91861962,91866666	91727798,91728038,91731574,91733302,91739269,91740287,91742185,91742539,91778906,91779514,91781372,91781658,91781948,91784635,91784850,91788507,91788650,91790232,91808987,91812986,91816295,91817106,91818063,91818608,91818813,91840915,91841084,91843582,91843960,91844620,91845661,91846469,91850744,91851132,91859650,91861850,91866569,91870355
O00311	0	chr1	+	91966408	91991321	91966505,91967388,91973494,91973954,91977247,91977480,91978864,91979600,91980554,91981433,91985836	91967211,91973411,91973819,91977154,91977338,91978615,91979505,91980376,91981351,91985687,91989598
Q03167	0	chr1	-	92145900	92351708	92149414,92161336,92163687,92174340,92178099,92181951,92182265,92185021,92185787,92187701,92193363,92195530,92200516,92224307,92263028,92327201	92161229,92163646,92174220,92177800,92181793,92182125,92184869,92185450,92187512,92193216,92195362,92200333,92224170,92262844,92327028,92351435
Q58F21	0	chr1	+	92414958	92479978	92415239,92428503,92430321,92433817,92441995,92442950,92443853,92445314,92446372,92446735,92446938,92447312,92456802,92457871,92459811,92467706,92470176,92470856	92428275,92430184,92433703,92441823,92442600,92443725,92445126,92446200,92446446,92446825,92447175,92456741,92457821,92459640,92467606,92469971,92470676,92479763
Q8IUS5	0	chr1	+	92495542	92529095	92495867,92498147,92508537,92511217,92515977,92518215	92498062,92508380,92511089,92515874,92518067,92528612
P0DME0	0	chr1	-	92540090	92540968		
Q5XKL5	0	chr1	+	92545902	92650280	92546277,92554452,92568226,92573558,92595333,92604987,92606768,92612825,92613343,92632697,92633542,92634552,92637017,92643103,92643455,92644008,92648152	92554255,92568030,92573441,92595244,92604907,92606672,92612737,92613241,92632515,92633405,92634423,92636956,92642386,92643368,92643869,92645822,92649421
Q5VVC0	0	chr1	+	92683472	92711370	92683605,92697043,92707862,92709942,92710414	92696939,92707769,92709774,92710336,92711097
Q92990	0	chr1	-	92711959	92764544	92712203,92712701,92713546,92728483,92729289,92730195,92732049,92732298,92733559,92733692,92735333,92737209,92752149,92754708,92755863,92757094,92763086,92763586	92712619,92713435,92728420,92729180,92730111,92731976,92732257,92733470,92733662,92735280,92737022,92752047,92754471,92755755,92756975,92762961,92763518,92764482
Q8IXW5	0	chr1	+	92764616	92867613	92764703,92765796,92767147,92769632,92769906,92772833,92786191,92789932,92799030,92801984,92811471,92846430	92765751,92767033,92769534,92769841,92772745,92786156,92789002,92798948,92801904,92811403,92846281,92852568
Q99684	0	chr1	-	92938600	92952482	92941764,92944310,92946042,92946645,92948603,92949143	92944145,92945905,92946158,92948421,92948930,92952283
A0A804HIC4	0	chr1	-	92974253	93250665	92979527,93029294,93070959,93073284,93089891,93091491,93101893,93128422,93129009,93131549,93142775,93159456,93159945,93161010,93163542,93167772,93169176,93170301,93202184	93029199,93070864,93073138,93089733,93091351,93101759,93128276,93128977,93131496,93142715,93159359,93159856,93160867,93163417,93167698,93168952,93170112,93201955,93250393
P46777	0	chr1	+	93297597	93307481	93297674,93299015,93299217,93300470,93301949,93303190,93306196	93298946,93299102,93300336,93301747,93303013,93306108,93307323
Q5T7M9	0	chr1	-	93307724	93427019	93309752,93312916,93316512,93341987	93312740,93316405,93341853,93426933
Q9Y483	0	chr1	+	93544840	93604633	93545088,93575985,93576183,93580340,93580645,93581175,93583997,93584958,93586229,93592856,93595005,93599365,93599537,93599752	93575787,93576102,93580245,93580545,93581027,93583902,93584890,93586106,93592789,93594835,93599260,93599485,93599648,93602227
Q9Y3A6	0	chr1	-	93615299	93645970	93620445,93622040,93625783	93621857,93625686,93645611
A0A8I5KWA2	0	chr1	+	93646281	93744287	93646409,93649052,93649703,93652060,93657663,93659301,93667545,93671188,93672955,93676483,93677818,93680523,93682303,93683426,93687300,93687493,93692006,93698150,93701947,93705030,93705453,93711761,93712511,93720171,93722095,93724442,93730458,93736371	93648917,93649535,93651902,93657557,93659173,93667449,93671067,93672664,93676359,93677658,93680300,93682193,93683295,93687166,93687416,93691890,93697983,93701805,93704867,93705240,93711662,93712395,93720028,93721892,93724305,93730258,93735904,93744020
Q658N3	0	chr1	+	93811464	93835050	93812422,93819628	93819465,93826050
Q5T0N5	0	chr1	+	93913675	94020218	93913862,93965140,93987692,93989048,93989880,93995313,93996440,93998625,94000465,94002047,94006613,94009773,94012531,94012998,94014983,94016662	93965025,93987639,93988901,93989818,93995209,93996312,93998479,94000262,94001889,94006599,94009664,94012399,94012904,94014835,94016504,94017966
O75815	0	chr1	-	94027298	94147393	94027976,94033048,94033408,94037398,94041686,94048510,94049678,94054976,94057950,94107899,94140497	94032836,94033297,94037227,94041571,94047858,94049575,94054534,94057822,94107860,94140170,94147154
Q5QJE6	0	chr1	-	94331840	94344762	94335500,94336348,94337792,94338770,94341339,94343418	94336239,94337628,94338675,94341201,94341824,94344633
P48507	0	chr1	-	94350755	94374986	94354715,94360284,94362376,94363454,94367225,94370144	94360170,94362174,94363395,94367141,94370079,94374594
P78363	0	chr1	-	94458390	94586704	94458798,94461751,94463666,94466484,94466661,94467548,94471138,94473296,94473853,94474427,94476485,94476941,94480246,94481410,94485315,94486965,94487270,94487507,94488974,94490604,94495187,94496082,94496676,94497599,94502344,94502906,94505683,94506958,94508454,94509031,94510300,94512649,94514513,94517254,94520871,94522378,94526315,94528309,94528873,94543443,94544262,94545017,94546274,94548997,94564547,94568698,94574272,94577135,94578622	94461665,94463417,94466392,94466558,94467414,94470997,94473190,94473791,94474307,94476356,94476818,94480099,94481295,94485138,94486796,94487196,94487402,94488942,94490510,94495001,94495984,94496552,94497334,94502296,94502701,94505599,94506765,94508317,94508892,94510169,94512475,94514424,94517189,94520667,94522157,94526093,94528133,94528668,94543246,94544146,94544878,94546034,94548908,94564350,94568571,94574133,94576994,94578529,94586536
Q52LW3	0	chr1	-	94634461	94703140	94640305,94643276,94643723,94645513,94649844,94650616,94651037,94652153,94654497,94654908,94655639,94667413,94668288,94668554,94668766,94669550,94670754,94671239,94674460,94674906,94685948,94697199	94643168,94643408,94645281,94649707,94650428,94650898,94652055,94654393,94654772,94655482,94667276,94668100,94668474,94668656,94669486,94670617,94671191,94674388,94674810,94685814,94696963,94702971
P28288	0	chr1	+	94883945	94984219	94884144,94924199,94930429,94933563,94939391,94940796,94941293,94943871,94946162,94948795,94953167,94953347,94953539,94955372,94955531,94956803,94964235,94964404,94964590,94965170,94972198,94980758	94924163,94930331,94933475,94939322,94940699,94941170,94943815,94946020,94948726,94953098,94953250,94953448,94955281,94955459,94956740,94964158,94964339,94964501,94965051,94972094,94980702,94982608
P13726	0	chr1	-	94994729	95007315	94996152,94998036,94998824,95001720,95005924	94997877,94998646,95001521,95005813,95007093
Q8N4M1	0	chr1	+	95285913	95360802	95286034,95286612,95290191,95293199,95294142,95303427,95305593,95307680,95311020,95323056,95330455,95332973,95356823,95358073	95286505,95290049,95293063,95294049,95303267,95305504,95307556,95310834,95322891,95330299,95332887,95356686,95357837,95360374
Q15417	0	chr1	-	95362513	95392666	95363639,95365073,95367341,95367814,95368744,95369080	95364927,95367225,95367677,95368678,95368959,95392394
Q96F25	0	chr1	-	95439961	95538507	95448862,95492816,95530573	95492685,95530422,95538319
Q96MV1	0	chr1	+	95582911	95663163	95583173,95609612,95614347,95615822,95616975,95639445	95609447,95614258,95615764,95616881,95639372,95657106
S4R434	0	chr1	+	95583479	95710511	95583647,95609612,95614347,95615822,95616975,95639445,95696550	95609447,95614258,95615764,95616881,95639372,95696458,95709767
Q9Y3V2	0	chr1	+	95699766	95712781	95699871,95710254,95712213	95709767,95712098,95712312
Q9UKA9	0	chr1	+	97187340	97280605	97187428,97189150,97217056,97235431,97236407,97243305,97243502,97250810,97270495,97272008,97272514,97278484,97278662	97189120,97216981,97235259,97236264,97243141,97243392,97250615,97270356,97271975,97272422,97278268,97278585,97278832
Q12882	0	chr1	-	97543299	98386590	97544702,97548026,97564188,97658804,97700550,97770934,97771853,97839200,97848017,97915779,97981497,98015300,98039526,98058943,98060722,98144738,98157354,98165103,98187227,98206035,98293752,98348930	97547886,97564045,97658625,97700408,97770815,97771733,97839117,97847949,97915615,97981282,98015116,98039316,98058774,98060615,98144651,98157273,98164907,98187066,98205948,98293670,98348820,98386440
Q9UNH6	0	chr1	+	99127277	99226056	99127467,99150623,99156741,99157255,99161272,99164461,99167459,99203945	99150441,99156631,99157091,99161074,99164262,99167373,99203793,99225610
Q32ZL2	0	chr1	-	99355801	99470417	99358660,99380476,99387614,99418876,99422297	99380342,99387438,99418626,99422165,99469991
Q7Z2D5	0	chr1	+	99730048	99775140	99730227,99753706,99762423,99764786,99766522,99767453	99753521,99762294,99764591,99766465,99767280,99771241
Q9NP74	0	chr1	+	100111669	100160091	100111918,100127955,100133322,100152346,100152519,100152745,100155428	100127875,100133198,100152232,100152486,100152632,100154331,100159575
Q6ZNA5	0	chr1	-	100169526	100232191	100174676,100174815,100176505,100177719,100178071,100181228,100183081,100185203,100194196,100195304,100203824,100206496,100207829,100212986,100214324,100214557	100174754,100176362,100177661,100177974,100181142,100182966,100185090,100194049,100195206,100203642,100206349,100207735,100212850,100214129,100214453,100232163
P35573	0	chr1	+	100315917	100389576	100315971,100316680,100327269,100327979,100330145,100336137,100336425,100340366,100340812,100341011,100342153,100343384,100345602,100346351,100346733,100347003,100347247,100349800,100350007,100350259,100353664,100356912,100357295,100358163,100361944,100366417,100368350,100376403,100378073,100379294,100381042,100382053,100382287	100316531,100327059,100327813,100329942,100335956,100336314,100340243,100340710,100340914,100342014,100343197,100345479,100346188,100346632,100346848,100347097,100349676,100349895,100350125,100353534,100356776,100357162,100357988,100361842,100366192,100368239,100376268,100377961,100379083,100380945,100381966,100382154,100387090
Q9Y2D2	0	chr1	+	100435552	100501190	100435718,100459297,100464971,100472712,100477089,100480976,100483371	100459093,100464817,100472590,100476921,100480858,100483238,100487942
A0A1W2PSA9	0	chr1	+	100435574	100548050	100435718,100459297,100464971,100472712,100477089,100480976,100515560,100524284,100525561,100527505,100533751,100534142,100535241,100542833,100544104,100546215	100459093,100464817,100472590,100476921,100480858,100515465,100524222,100525434,100527391,100533533,100534029,100535170,100542721,100544007,100546052,100547559
Q96MC6	0	chr1	+	100503651	100548933	100503872,100515560,100524284,100525561,100527505,100533751,100534142,100535241,100542833,100544104,100546215	100515465,100524222,100525434,100527391,100533533,100534029,100535170,100542721,100544007,100546052,100547559
Q6UVJ0	0	chr1	-	100549126	100598486	100550990,100551186,100553792,100568639,100571459,100572549,100573109,100573273,100573560,100576039,100584693,100586015,100587105,100588040,100588845,100591498	100551092,100553695,100568511,100571323,100572468,100572930,100573184,100573366,100575848,100584574,100585950,100586934,100587936,100588766,100591438,100598306
Q9NUP7	0	chr1	+	100598719	100616052	100598871,100602484,100602641,100605267,100605807,100606070,100606575,100608765,100609699,100613882	100602438,100602575,100605205,100605738,100605964,100606408,100608693,100609625,100613450,100614181
Q96DD0	0	chr1	-	100614004	100643812	100614653,100618080,100620759,100621873,100623923,100624971,100626127,100634150,100638926	100617941,100620607,100621728,100623787,100624815,100626022,100633960,100638887,100643691
P11182	0	chr1	-	100652475	100715390	100661978,100671857,100672192,100676327,100680539,100681755,100684303,100696470,100701067,100706440	100671786,100672001,100676250,100680373,100681539,100684182,100696289,100700992,100706317,100715326
O00442	0	chr1	+	100731772	100758325	100731976,100732180,100733851,100736236,100739008,100740521,100741279,100742872,100750878,100752759	100732080,100733708,100736113,100738950,100740380,100741155,100742814,100750784,100752655,100756959
Q9UNH5	0	chr1	+	100818062	100985833	100818559,100819408,100843177,100856380,100889857,100905554,100908552,100921048,100928437,100933650,100950007,100960486,100961605,100963763,100964818	100819318,100843102,100856288,100889778,100905488,100908490,100920961,100928207,100933512,100949848,100960374,100961558,100963641,100964485,100983807
Q9GZN0	0	chr1	+	101003695	101007577	101004058	101004450
P19320	0	chr1	+	101185298	101204601	101185480,101186307,101188896,101190446,101194938,101197074,101198240,101200324	101186032,101188576,101190180,101194663,101196754,101197974,101200058,101203679
Q9UBQ6	0	chr1	-	101337947	101360398	101339986,101342420,101343459,101354384	101342350,101343032,101354309,101360189
Q8NEW0	0	chr1	+	101361646	101447313	101361898,101362227,101372521,101376706,101377794,101379362,101383683,101387397,101427474,101431474	101362126,101372408,101376619,101377668,101379219,101383633,101387262,101427384,101431325,101440366
Q9H2P9	0	chr1	-	101455179	101491340	101456187,101458296,101460705,101467143,101479374,101487321,101491022	101458193,101460666,101467023,101479266,101487197,101490865,101491239
M0QYT2	0	chr1	+	101455761	101457653		
P21453	0	chr1	+	101702575	101707074	101702655	101704378
Q96PB7	0	chr1	-	102268116	102462482	102270471,102271738,102290801,102296383,102302581	102271632,102290582,102296228,102302435,102462304
P12107	0	chr1	-	103342029	103574078	103343721,103345472,103347321,103348867,103352612,103354186,103354314,103354475,103355118,103356060,103363734,103364329,103364550,103377768,103379246,103379961,103380367,103381240,103385920,103387127,103388945,103400112,103400669,103404644,103405990,103412512,103427475,103427821,103428316,103431096,103435828,103440439,103444308,103444469,103444660,103444991,103449747,103453296,103455127,103461464,103461598,103462680,103463919,103467525,103468037,103468347,103468824,103470044,103470217,103471447,103471677,103471871,103474072,103478025,103480150,103481298,103483438,103484415,103487325,103488552,103491169,103491888,103496800,103540336,103544427,103548528	103345239,103347253,103348755,103352363,103354133,103354279,103354422,103355011,103356007,103363681,103364222,103364497,103377715,103379193,103379908,103380260,103381187,103385867,103387074,103388892,103400005,103400616,103404591,103405883,103412405,103427422,103427732,103428209,103431043,103435775,103440386,103444264,103444416,103444616,103444938,103449694,103453189,103455074,103461420,103461545,103462636,103463866,103467481,103467984,103468303,103468771,103470000,103470164,103471394,103471624,103471818,103474019,103477969,103480067,103481224,103483376,103484374,103487263,103488298,103491077,103491772,103496672,103540174,103544214,103548361,103573629
Q96LT9	0	chr1	+	104068321	104097861	104068884,104070364,104076479,104077479,104078063,104078816,104080106,104084097,104086069,104087724,104088964,104089657,104093695,104094414	104070317,104076361,104077396,104077952,104078748,104079964,104083972,104085918,104087563,104088870,104089599,104093563,104094343,104097656
P19961	0	chr1	+	104114211	104122156	104114392,104114878,104115882,104116560,104117015,104117967,104118162,104120230,104120467	104114732,104115685,104116330,104116882,104117845,104118063,104120112,104120342,104121933
